GEO_ID,NAME,B28002_001E,B28002_013E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!No Internet access
42003526201,"Census Tract 5262.01, Allegheny County, Pennsylvania",1529,259
42003526202,"Census Tract 5262.02, Allegheny County, Pennsylvania",1885,338
42003526301,"Census Tract 5263.01, Allegheny County, Pennsylvania",1725,143
42003526302,"Census Tract 5263.02, Allegheny County, Pennsylvania",2205,267
42003550900,"Census Tract 5509, Allegheny County, Pennsylvania",698,300
42003551200,"Census Tract 5512, Allegheny County, Pennsylvania",1686,637
42003551300,"Census Tract 5513, Allegheny County, Pennsylvania",1250,207
42003551900,"Census Tract 5519, Allegheny County, Pennsylvania",951,535
42003552000,"Census Tract 5520, Allegheny County, Pennsylvania",1134,391
42003552100,"Census Tract 5521, Allegheny County, Pennsylvania",544,277
42003552200,"Census Tract 5522, Allegheny County, Pennsylvania",491,212
42003552300,"Census Tract 5523, Allegheny County, Pennsylvania",877,267
42003552400,"Census Tract 5524, Allegheny County, Pennsylvania",1282,322
42003560400,"Census Tract 5604, Allegheny County, Pennsylvania",903,185
42003560500,"Census Tract 5605, Allegheny County, Pennsylvania",1342,69
42003560600,"Census Tract 5606, Allegheny County, Pennsylvania",585,200
42003561000,"Census Tract 5610, Allegheny County, Pennsylvania",581,148
42003561100,"Census Tract 5611, Allegheny County, Pennsylvania",393,158
42003561200,"Census Tract 5612, Allegheny County, Pennsylvania",498,215
42003561400,"Census Tract 5614, Allegheny County, Pennsylvania",2636,889
42003561500,"Census Tract 5615, Allegheny County, Pennsylvania",1738,418
42003561600,"Census Tract 5616, Allegheny County, Pennsylvania",890,258
42003561700,"Census Tract 5617, Allegheny County, Pennsylvania",344,69
42003561900,"Census Tract 5619, Allegheny County, Pennsylvania",1073,469
42003562000,"Census Tract 5620, Allegheny County, Pennsylvania",1813,302
42003562300,"Census Tract 5623, Allegheny County, Pennsylvania",1408,650
42003562400,"Census Tract 5624, Allegheny County, Pennsylvania",1214,249
42003562500,"Census Tract 5625, Allegheny County, Pennsylvania",1101,257
42003562600,"Census Tract 5626, Allegheny County, Pennsylvania",1026,276
